ageGroup,region,relation,gender,planClassKey,industryKey,operatorTypeKey,memberCount
24-28,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,406
29-33,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,M,null,null,null,376
29-33,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,76
34-38,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,226
34-38,REGION_NORTH_WEST,RELATION_EMPLOYEE,M,null,null,null,186
44-48,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,442
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,192
34-38,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,82
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,318
19-23,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,105
59-63,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,47
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,4
59-63,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,368
49-53,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,358
59-63,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,11
0-18,REGION_WALES,RELATION_DEPENDANT,F,null,null,null,430
64+,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,417
29-33,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,168
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,376
39-43,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,M,null,null,null,18
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,325
0-18,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,444
59-63,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,416
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,362
54-58,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,13
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,229
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,130
0-18,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,475
54-58,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,177
44-48,REGION_NORTH_WEST,RELATION_EMPLOYEE,M,null,null,null,295
39-43,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,75
19-23,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,252
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,M,null,null,null,87
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,274
29-33,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,125
24-28,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,285
34-38,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,170
49-53,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,126
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,327
24-28,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,184
39-43,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,488
24-28,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,375
