ageGroup,region,relation,claimType,conditionGrouping,gender,planClassKey,industryKey,operatorTypeKey,currYearClaimCount,currYearTotalClaimCostAmount,prevYearClaimCount,prevYearTotalClaimCostAmount,prevYearTotalSettledClaimAmount,currYearTotalSettledClaimAmount
39-43,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,5,1414,6,1033.09,1267.09,2150
29-33,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,4,3567,0,0,502,4037
34-38,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,23,2887.36,20,3212.82,3728.82,3597.36
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,677,52097.91,556,47720.02,47837.02,52224.91
49-53,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,7,1068.18,6,1448.5,2376.5,1405.18
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,33,21146.6,25,19504.48,19609.48,22095.6
39-43,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,7,5052,3,1058,1288,5126
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,17,4910,28,7287,7828,5565
24-28,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,4,1100,0,0,492,2080
29-33,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,2,800,1,125,854,1091
39-43,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,4,1270,2,1112,1965,1371
39-43,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,2,1084.57,0,0,320,1104.57
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,7,3026.39,0,0,476,3826.39
49-53,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,2,0,0,0,705,367
19-23,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,71,5595.07,59,6420.37,7025.37,5928.07
19-23,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,2,3831,0,0,728,4087
29-33,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,86,7101.68,149,16139.57,16233.57,7538.68
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_LENSES,M,null,null,null,1,250,5,4755.49,5555.49,691
49-53,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,9,1168.85,4,463.92,950.92,2051.85
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,M,null,null,null,72,48163,51,29905,30617,48342
24-28,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,103,9703.27,86,7601.5,7989.5,10028.27
19-23,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,34,2870.45,50,5574.72,6236.72,3766.45
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,0,0,2,7331.1,7649.1,354
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,2,9769.59,2,8244,8409,10229.59
19-23,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,3,1841.41,2,2101,2902,2203.41
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,13,8655.5,8,7041,7525,9126.5
19-23,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,0,0,5,468.03,853.03,730
44-48,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_LENSES,M,null,null,null,0,0,2,221.5,414.5,123
39-43,REGION_NORTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,4,1256,7,1382.3,2314.3,1710
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,2,922,1,2673,3264,1172
44-48,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,0,0,1,4259,4278,986
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,3,495.95,17,5385.46,5849.46,1468.95
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,9,5049,2,881,1712,5595
34-38,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,5,1884.71,1,130,960,2809.71
29-33,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,0,0,3,1178.07,1494.07,205
24-28,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,24,2090.88,11,1645.88,2162.88,2609.88
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,0,0,10,4328.89,4679.89,198
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,1299,150663.17,1167,128894.47,129282.47,151394.17
24-28,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,8,1853,12,3674,4133,2401
49-53,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,3,295,5,786.88,1004.88,756
39-43,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,22,3441.58,26,4445.15,5170.15,4311.58
59-63,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,4,2418.8,1,1318,2189,3075.8
34-38,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,1,134,6,1529,1595,1126
19-23,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,40,5521.58,32,9006.73,9527.73,6166.58
54-58,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,3,407.41,1,244.5,764.5,434.41
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,6,8369.85,20,20098.55,20845.55,9299.85
39-43,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,M,null,null,null,3,2022,0,0,932,2941
24-28,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,2,1762,0,0,624,2361
0-18,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,12,2678,11,1425.5,1721.5,3400
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,2,220,18,1830,1851,240
34-38,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,7,3172,15,13441.5,14412.5,3776
0-18,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,22,6919.3,13,4996.5,5708.5,7358.3
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,2,195,3,299.54,1104.54,431
49-53,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,3,1623,3,1439,2079,1775
59-63,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,10,1685.15,13,1625,2052,2186.15
29-33,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,821,149269.63,681,131429.52,132227.52,150262.63
29-33,REGION_NORTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,0,0,5,2480.5,2974.5,726
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,133,22692.83,137,27976.71,28301.71,22817.83
44-48,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,12,17336,12,25519.66,26150.66,17557
54-58,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,2,343.93,0,0,818,1265.93
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,7,11420,0,0,366,11844
44-48,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,0,0,2,1363.5,2159.5,210
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,13,4449,0,0,454,4911
49-53,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,1,837,4,900,1594,1734
39-43,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,29,5189.65,14,2512.26,2779.26,5689.65
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,52,24102.7,43,29691.01,30422.01,24939.7
24-28,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,3,320,7,535,1283,441
34-38,REGION_NORTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,1,750,1,300,631,1665
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,11,1776.15,11,722,1309,2057.15
49-53,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,0,0,4,12306.44,12562.44,75
59-63,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,0,0,3,197.8,846.8,182
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,9,11464.34,8,8645.5,8765.5,11882.34
39-43,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,5,782,2,75,1014,1717
49-53,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,1,220,0,0,289,417
54-58,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,1,0,0,0,223,131
29-33,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,1019,94021.18,685,69256.95,69309.95,94921.18
34-38,REGION_WALES,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,0,0,4,2022,2329,951
0-18,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,2,600,3,2400,2446,1434
39-43,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,2,1623.5,3,3332.5,3829.5,2252.5
19-23,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,62,3033.41,19,1523.68,2188.68,3676.41
29-33,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,67,11584.39,41,5931.1,6875.1,12030.39
39-43,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,19,25721.93,12,24944.31,25942.31,26076.93
0-18,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,84,5769.93,56,4182.48,5039.48,5928.93
29-33,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,1,107,6,3439.5,4146.5,214
59-63,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,1,40,0,0,442,350
64+,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,19,1784.74,6,1215.48,1919.48,2659.74
19-23,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,78,10390.5,66,6800,7544,10661.5
39-43,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,4,1100.92,1,105,840,2007.92
19-23,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,19,2035.25,18,802.95,1674.95,2703.25
59-63,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,29,8569.95,36,9656.53,9742.53,9507.95
34-38,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,351,82433.14,308,73810.89,74714.89,83280.14
39-43,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,2,390,0,0,364,766
59-63,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,0,0,7,1825,1965,754
19-23,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,0,0,2,1435,2342,152
19-23,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,0,0,7,7886.99,8465.99,175
34-38,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,1241,140471.14,1014,107635.26,108267.26,141250.14
44-48,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,0,0,2,846,1380,239
19-23,REGION_WALES,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,43,3519.27,10,1695.87,1842.87,4064.27
29-33,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,4,530.35,5,257,531,1007.35
54-58,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,15,1760.5,0,0,762,2253.5
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,19,7927.79,0,0,58,8329.79
19-23,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,6,3256,0,0,870,3411
24-28,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,25,3305.72,20,3145.49,3540.49,3503.72
24-28,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_LENSES,M,null,null,null,2,400,4,692.48,1461.48,849
34-38,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,244,54108.64,263,66653.13,66903.13,55005.64
34-38,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,26,24091.63,32,29625.32,29753.32,24784.63
59-63,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,0,0,1,0,575,298
49-53,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,4,2932.01,0,0,659,3565.01
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,6,1861.64,13,2512.72,2568.72,2050.64
