ageGroup,region,relation,claimType,conditionGrouping,gender,planClassKey,industryKey,operatorTypeKey,currYearClaimCount,currYearTotalClaimCostAmount,prevYearClaimCount,prevYearTotalClaimCostAmount
61-65,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,3,1402.5,7,881.5
61-65,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,0,0,8,4874.94
56-60,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,20,32300.35,93,124873.17
61-65,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,0,0,1,90
56-60,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,0,0,2,829
0-18,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,1,208,0,0
26-35,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,87,15751.9,58,7852.08
19-25,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,10,804,3,963.6
56-60,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,4,914,5,4451
46-55,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ MENTAL_DISORDERS,F,null,null,null,0,0,7,1354
66-70,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,2,602,0,0
36-45,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,80,49818.74,44,24801.08
36-45,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,1,500,0,0
36-45,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,36,57372.09,45,49334.56
26-35,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,8,4843.01,8,4007
46-55,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,923,166298.61,587,120236.65
61-65,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,2,1730,0,0
26-35,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,213,35703,161,28107.39
56-60,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,0,0,2,0
46-55,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,20,16572,21,16619.18
61-65,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,5,972,2,150
66-70,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,2,513.38,0,0
71-75,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,1,150,0,0
76+,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,6,11405,4,18289
56-60,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,F,null,null,null,0,0,2,384
76+,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,1,500,7,10074.52
36-45,REGION_NORTHERN_IRELAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,19,3654.1,12,1594.33
26-35,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,5,1995,2,1125
19-25,REGION_WEST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,9,5912,4,2545.5
36-45,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,25,18863.21,38,20474.77
19-25,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,2,2227,0,0
76+,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,6,3565.4,7,1500
46-55,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,7,-73.8,13,9008.22
56-60,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,M,null,null,null,15,1774,0,0
61-65,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,21,12295.29,12,6483.5
36-45,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,92,100263.43,50,44474.27
0-18,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,0,0,3,1991
26-35,REGION_SCOTLAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,F,null,null,null,1,9264,0,0
26-35,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,3,3251,0,0
36-45,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,30,12489.1,29,17778.18
76+,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,10,1539,7,575
0-18,REGION_NORTHERN_IRELAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,10,1175.95,4,541.86
46-55,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,7,1264,0,0
56-60,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,6,1065,13,1225.63
76+,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,9,1370,0,0
19-25,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,3,3043,3,2877
46-55,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,40,22971.21,23,13687.18
46-55,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,13,8702.54,11,14975.72
36-45,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,10,2290.26,18,3566.29
36-45,REGION_NORTHERN_IRELAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,0,0,2,2192
76+,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,2,887,0,0
71-75,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,1,958.5,1,145
66-70,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,4,652.15,5,673.61
56-60,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,0,0,2,1041.5
46-55,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,751,88088.44,512,55457.84
56-60,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,34,22787.67,11,10773.6
46-55,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,F,null,null,null,22,60503.75,13,38976.12
71-75,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,12,1929.77,7,1070
71-75,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,2,2667,0,0
19-25,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_PREGNANCY,F,null,null,null,1,359.04,0,0
36-45,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,2,3598,0,0
46-55,REGION_NORTHERN_IRELAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,M,null,null,null,2,240,4,360
19-25,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,2,750,0,0
0-18,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_RESPIRATORY,F,null,null,null,20,11145.8,11,4999.71
0-18,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,402,59312.52,311,48723.8
26-35,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,4,3353.49,0,0
61-65,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,1,3354,4,2514
71-75,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,0,0,3,3140
56-60,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,4,7885.69,1,100
19-25,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,157,12768.65,87,9392.57
26-35,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,23,14711.59,10,4609.35
46-55,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,2,3478.07,4,3378
76+,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,2,9036,0,0
56-60,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_PREGNANCY,M,null,null,null,7,9056.45,0,0
61-65,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,18,10675,9,4010
66-70,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,0,0,1,289
56-60,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,2,1464,0,0
36-45,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,25,4703.99,19,4321.2
26-35,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,1583,286899.52,739,158176.78
36-45,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,8,1624,0,0
61-65,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,11,5651,3,1950.39
71-75,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,1,145,0,0
61-65,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,10,6006,8,5321
19-25,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_PREGNANCY,M,null,null,null,0,0,2,105
19-25,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,10,4984.25,4,6539
0-18,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_PREGNANCY,M,null,null,null,10,2916.5,8,2260
66-70,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,7,1068.18,6,1448.5
19-25,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,M,null,null,null,54,6599,74,10236
46-55,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,45,25076.5,50,27846.72
61-65,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,60,12678.04,38,5427.54
66-70,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,10,6358,0,0
61-65,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,73,34265.75,25,5328.34
0-18,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,19,9661.02,21,10577.59
76+,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,30,3506.22,59,6796.5
46-55,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,24,13852.98,8,6739.74
71-75,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,2,235.5,7,828.03
71-75,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,3,2137.5,0,0
61-65,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,4,0,0,0
61-65,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,3,442.3,5,607
26-35,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,8,7775.27,5,4956.82
